,Blind_Assessment,Origin
11,"richly sweet, crisply fruity. plum, magnolia, cashew, agave syrup, dried sage in aroma and cup. sweetly tart structure with brisk acidity; syrupy-smooth mouthfeel. the crisp finish highlights notes of cashew and plum.",ethiopia
12,"delicate, complex, high-toned. bergamot, plumeria, lemongrass, cocoa nib, dried apricot in aroma and cup. juicy, balanced acidity; exceptionally silky mouthfeel. the finish fulfills the promise of the cup, carrying forward all of the flavor and aroma notes.",ethiopia
13,"balanced, bright. cocoa nib, orange zest, almond brittle, plum, cedar in aroma and cup. sweet-toned with juicy, high-toned acidity; crisp, velvety mouthfeel. quiet finish that leads with notes of cocoa nib and orange zest, rounding to cedar in the long.",colombia
14,"wildly tropical, fruity and deep. passion fruit, mango, tamarind, rice candy, hop flowers in aroma and cup. richly bittersweet structure with juicy acidity; plushly syrupy mouthfeel. long, lingering, fruity finish.",colombia
15,"richly aromatic, sweetly tart, deeply savory. lilac, dark chocolate, lemon drop, pink grapefruit zest, shiitake mushroom in aroma and cup. harmonious sweet-tart-savory structure; lyrical, syrupy-smooth mouthfeel. the flavor-saturated finish leads with citrus notes (lemon drop, pink grapefruit zest) in the short, rounding to deep chocolate and sweet mushroom notes in the long.",ethiopia
16,"sweetly nut- and caramel-toned. cashew butter, caramel, agave syrup, plum, fresh-cut oak in aroma and cup. sweet structure with brisk acidity; very full, syrupy-smooth mouthfeel. finish consolidates to notes of cashew and caramel.",ecuador
17,"high-toned, floral. nectarine, lilac, cocoa nib, pistachio brittle, cedar in aroma and cup. sweet structure with bright, juicy acidity; silky-smooth mouthfeel. the cocoa-toned finish is complicated by hints of lilac and cedar.",costarica
18,"deep-toned, richly chocolaty. dark chocolate, date, narcissus, almond, brown sugar in aroma and cup. sweet, balanced acidity; very full, creamy mouthfeel. sweet-toned finish with notes of dark chocolate and almond.",peru
19,"crisply chocolaty, nut-toned. baking chocolate, pink grapefruit zest, hazelnut brittle, thyme, agave syrup in aroma and cup. bittersweet structure with brisk acidity; smooth, satiny mouthfeel. quiet, nut-driven finish with hints of baking chocolate.",guatemala
20,"floral-toned, gently fermenty. narcissus, red wine, lemon verbena, cedar, myrrh in aroma and cup. brightly sweet with juicy acidity; plush, syrupy mouthfeel. resonant finish consolidates to notes of narcissus and red wine.",colombia
21,"richly sweet, deeply savory, juicy-bright. blackberry, finger lime, dark chocolate, fresh-cut cedar, star jasmine in aroma and cup. balanced, sweet-savory structure with high-toned acidity; plush, viscous mouthfeel. the long finish is richly floral with undertones of dark chocolate and lime.",kenya
22,"complex, sweetly and intricately herbaceous, citrusy. lemon verbena, cardamom, cocoa nib, ginger, aromatic orchid in aroma and cup. sweetly savory with delicately juicy acidity; crisp, silky mouthfeel. long, resonant, flavor-saturated finish.",colombia
23,"a ready-to-drink black coffee, tested cold. dark chocolate fudge, raspberry coulis, molasses, almond butter, redwood. richly sweet structure with brisk acidity; velvety-smooth mouthfeel. the finish is chocolaty, through and through — in milk, dessert-like, reminiscent of a chocolate-raspberry truffle.",ethiopia
24,"sweetly savory, vibrant, deep. meyer lemon zest, dark chocolate, tamarind, sandalwood, aromatic orchid in aroma and cup. sweet-tart structure with bright, juicy acidity; satiny-smooth mouthfeel. flavor-saturated-finish leads with notes of tamarind and lemon zest, rounding to deep, dark chocolate notes in the long.",guatemala
25,"caramel apple, chrysanthemum, lemon verbena, cedar, almond butter in aroma and cup. sweetly bright structure with delicately juicy acidity; gently buoyant mouthfeel. the roundly sweet finish leads with notes of caramel apple and chrysanthemum.",brazil
26,"deeply sweet-savory, intricate, inviting. black currant, cocoa nib, lemon verbena, fresh-cut oak, nutella in aroma and cup. balanced, sweetly tart structure with juicy-bright acidity; plush, satiny mouthfeel. the finish consolidates to lasting black currant and nutella notes.",kenya
27,"elegantly fruit-toned, gently spice-driven. date, clove, blood orange, baking chocolate, cedar in aroma and cup. complex bittersweet structure with winey acidity; plush, syrupy mouthfeel. the resonant finish is centered around notes of date, blood orange and clove.",hawaii
28,"gently fruit-forward, balanced. black cherry, tea rose, walnut, baking chocolate, cedar in aroma and cup. bold, brisk acidity; very full, syrupy mouthfeel. finish consolidates to notes of black cherry and cedar.",costarica
29,"complex, bright, cleanly fruit-forward. meyer lemon zest, ripe plum, cocoa nib, violet, black sage in aroma and cup. sweetly tart with crisp, juicy acidity; silky, supple mouthfeel. deeply layered finish centered on stone fruit and cocoa.",ethiopia
30,"high-toned, richly sweet-tart. mango, cocoa nib, lemongrass, cedar, narcissus in aroma and cup. balanced, sweetly tart structure with lively acidity; syrupy-smooth mouthfeel. the long, sweetly herb-toned finish leads with lemongrass notes with undertones of crisp cocoa nib.",ethiopia
31,"plushly nut-toned, richly aromatic. hazelnut butter, date, maple syrup, pink grapefruit zest, hint of bay leaf in aroma and cup. balanced, even-keeled acidity; crisp, satiny-smooth mouthfeel. hazelnut notes foreground the gentle finish.",honduras
32,"quietly complex, gently bright. macadamia nut, baking chocolate, magnolia, blackberry, cedar in aroma and cup. sweet-toned structure with gentle, round acidity; full, syrupy mouthfeel. the resonant finish centers around notes of crisp chocolate and cedar.",yemen
33,"richly nut-toned, very sweet. toffee, hazelnut, magnolia, green grape, marjoram in aroma and cup. bright, juicy-sweet acidity; lively, viscous mouthfeel. long, resonant finish that harmoniously carries forward all the notes from the cup.",hawaii
34,"deep-toned, sweetly fermenty. oak barrel, chocolate fudge, raspberry, freesia-like flowers, a hint of rum in aroma and cup. sweet structure with gentle, round acidity; satiny-smooth mouthfeel. chocolaty, oak-toned finish with rum undertones.",hawaii
35,"high-toned, balanced. meyer lemon zest, cocoa nib, red plum, almond brittle, cedar in aroma and cup. sweet structure with brisk acidity; satiny-smooth mouthfeel. the sweetly nut-toned finish is redolent of almond butter with undertones of meyer lemon zest.",nicaragua
36,"high-toned, fruit-driven. boysenberry, pear, cocoa nib, tangerine zest, pink peppercorn in aroma and cup. sweetly tart structure with juicy-bright acidity; crisp, velvety mouthfeel. the finish consolidates to notes of boysenberry and tangerine zest with undertones of pink peppercorn.",ethiopia
37,"fruit-driven, floral and chocolaty. chocolate fudge, dried black cherry, lavender, amber, honey in aroma and cup. sweet-tart structure with very bright acidity; plush, syrupy mouthfeel. the resonant finish consolidates to notes of chocolate and black cherry with amber undertones.",ethiopia
38,"richly fruit-driven, invitingly aromatic. lychee, violet, cocoa nib, thyme, agave syrup in aroma and cup. sweet-savory structure with bittersweet acidity; full, syrupy-smooth mouthfeel. the finish centers around notes of lychee and thyme with cocoa undertones.",ethiopia
39,"sweetly savory, rich-toned, complex. apricot, tamarind, pink grapefruit zest, dark chocolate, candied violet in aroma and cup. savory-sweet structure with bright, juicy acidity; very full, syrupy mouthfeel. long, satiating finish with resonant stone fruit, citrus zest and dark chocolate notes.",kenya
40,"resonantly sweet-tart, high-toned. passion fruit, toffee, pink grapefruit zest, jasmine, cedar in aroma and cup. sweet-tart structure with juicy-bright acidity; very full, syrupy mouthfeel. the long, lingering finish centers around notes of toffee and pink grapefruit zest.",kenya
41,"tropical fruit-driven, resonantly aromatic. lychee, guava, cocoa nib, freesia-like flowers, cedar in aroma and cup. sweet-tart structure with high-toned acidity; plush, satiny-smooth mouthfeel. the finish centers around notes of lychee and freesia with cocoa undertones.",ethiopia
42,"very sweet, floral, tropical fruit-toned. lychee, green grape, pomegranate, baking chocolate, watermelon candy in aroma and cup. tartly bittersweet in structure, with a delicate, silky mouthfeel. crisply chocolaty in finish with a continued suggestion of watermelon candy.",colombia
43,"evaluated as espresso. deep-toned, sweetly savory. dried fig, hop flowers, lemon verbena, dark chocolate, clove in aroma and small cup. satiny-smooth mouthfeel; chocolaty finish with clove undertones. in cappuccino-scaled milk, spiced-toned chocolate notes are elevated, while fig and herb notes support.",guatemala
44,"sweetly fruit-toned, crisply floral. dried peach, honey, almond butter, magnolia, tangerine zest in aroma and cup. sweet-toned structure with brisk acidity; full, syrupy mouthfeel. the crisp finish leads with notes of dried peach, magnolia and almond.",costarica
45,"confidently sweet-tart, decidedly floral. honeysuckle, tangerine zest, plum, pipe tobacco, maple syrup in aroma and cup. sweet-toned with bright, juicy acidity; silky-smooth mouthfeel. crisp, flavor-saturated finish.",ethiopia
46,"crisp, bittersweet, fruity. canned peaches, pomegranate, dark chocolate, oak, sassafras. very brisk acidity; crisp, lightly satiny mouthfeel. gently drying finish that leads with notes of canned peach and sassafras.",china
47,"subtly complex, deeply sweet. star jasmine, cocoa nib, mango, frankincense, spearmint in aroma and cup. bright, juicy acidity; viscous, syrupy mouthfeel. the balanced finish leads with notes of star jasmine and mango, followed by cocoa suggestions.",ethiopia
48,"floral-toned, sweetly fermenty. ginger blossom, baking chocolate, black cherry, lemon zest, wine barrel in aroma and cup. sweet-savory structure with brisk acidity; silky, lightly viscous mouthfeel. the spice-toned, floral finish is supported by notes of wine barrel.",colombia
49,"bright, richly floral-toned. wisteria, cocoa nib, tangerine zest, almond nougat, sandalwood in aroma and cup. sweet-tart structure with bright, juicy acidity; full, satiny mouthfeel. the satisfying finish leads with notes of wisteria and tangerine, rounding to almond nougat and sandalwood in the long.",ethiopia
50,"evaluated as espresso. fruit-forward, chocolaty. dark chocolate, black cherry, lily, molasses, cedar in aroma and small cup. very syrupy mouthfeel; crisp, chocolaty finish. in three parts milk, dark chocolate notes take center stage, supported by notes of black cherry and lily.",ethiopia
51,"evaluated as espresso produced as a “ristretto” 25ml (.85-ounce) shot using a nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. richly aromatic, floral and balanced. jasmine, orange zest, baking chocolate, pear, cedar in aroma and small cup. silky-smooth mouthfeel. crisp finish leads with notes of jasmine and orange zest, with undertones of baking chocolate throughout. chocolate notes deepen in three parts milk, as do sweet florals.",panama
52,"gently fruit-toned, sweetly tart. plum, cocoa nib, lemon verbena, oak, maple syrup in aroma and cup. crisp, high-toned with juicy acidity; satiny mouthfeel. the sweetly herbaceous finish is driven by lemon verbena and maple syrup notes with oak undertones.",ethiopia
53,"richly sweet-savory, cocoa-toned. cocoa nib, pluot, brown sugar, candycap mushroom, meyer lemon zest in aroma and cup. sweet-tart structure with high-toned acidity; plush, syrupy mouthfeel. the resonant finish centers around notes of cocoa nib, pluot, and lemon zest.",hawaii
54,"sweetly smoky, crisply chocolaty. scorched cedar, baking chocolate, lemon-thyme, candy apple, lily in aroma and cup. bittersweet structure with velvety mouthfeel; the crisp, chocolaty finish is supported by notes of lemon-thyme and lily.",mexico
55,"richly aromatic, chocolaty and fruit-forward. dark chocolate, bergamot, lychee, musk, tarragon in aroma and cup. juicy-bright acidity; plush, syrupy mouthfeel. intense, quite long finish with leading notes of dark chocolate and tarragon.",colombia
56,"sweetly fermenty, complex. grappa barrel, goji berry, pipe tobacco, gardenia, pink grapefruit zest in aroma and cup. sweet-toned with fruit-driven acidity; creamy mouthfeel. the finish centers on notes of grappa barrel and pipe tobacco.",yemen
57,"crisply sweet-tart. green apple, magnolia, oak, maple syrup, almond in aroma and cup. sweet-tart structure with brisk acidity; delicate, silky mouthfeel. almond and apple notes lead in the quiet finish.",costarica
58,"crisply tart, chocolaty. lime zest, dried apricot, chocolate fudge, agave syrup, cedar in aroma and cup. sweet-toned structure with gentle, round acidity; lightly syrupy mouthfeel. the deep finish is richly drying, very chocolaty.",thailand
59,"deep-toned, richly sweet. oreo cookie, finger lime, lychee, agave syrup, cedar in aroma and cup. lively, brisk acidity; lightly satiny mouthfeel. a hint of cumin surfaces in the cookie-sweet finish.",guatemala
60,"chocolaty, richly sweet. dark chocolate, date, hazelnut, cedar, agave syrup in aroma and cup. sweet-toned structure with vibrant acidity; satiny-smooth mouthfeel. the finish centers around notes of dark chocolate and hazelnut with cedar undertones.",kenya
61,"evaluated as espresso. crisply chocolaty, deep-toned. baking chocolate, date, cashew, orange zest, molasses in aroma and small cup. crisply smooth mouthfeel; gently drying finish with notes of orange zest and cashew. in cappuccino-scaled milk, baking chocolate predominates, supported by cashew and orange zest.",ethiopia
62,"crisply sweet, bright and balanced. cocoa nib, cherry, brown sugar, lemon thyme, magnolia in aroma and cup. sweetly tart with brisk acidity; plush, syrupy mouthfeel. cocoa-toned finish with notes of brown sugar and magnolia.",honduras
63,"deep-toned, floral and chocolaty. dark chocolate, honeysuckle, tamarind, mulberry, fresh-cut oak in aroma and cup. sweet-savory structure with gentle, rounded but vibrant acidity; very syrupy, viscous mouthfeel. long, lingering, balanced, flavor-saturated finish.",kenya
64,"berry-toned, chocolaty. berry melange, baking chocolate, caramel, gardenia, oak in aroma and cup. brisk acidity; very full, viscous mouthfeel. baking chocolate and gardenia lead in the crisp finish.",ethiopia
65,"deep-toned, sweetly fermenty. dark chocolate, papaya, fresh-cut fir, grappa, agave syrup in aroma and cup. sweet structure with brisk acidity; lightly satiny mouthfeel. richly sweet, gently drying in the finish.",ethiopia
66,"crisply sweet-tart, floral-toned. narcissus, plum, baking chocolate, almond, brown sugar in aroma and cup. sweetly tart structure with vibrant acidity; satiny-smooth mouthfeel. the quiet finish centers around suggestions of brown sugar and almond.",honduras
67,"tropical, deeply sweet-tart. passionfruit, lemon verbena, cane sugar, bay leaf, cedar in aroma and cup. crisply high-toned acidity; very full, satiny mouthfeel. lemon verbena and bay leaf remain in the pleasing finish.",colombia
68,"chocolate-toned, richly sweet-savory. dark chocolate, nasturtium, black ucherry, cedar, agave syrup in aroma and cup. bittersweet structure with gentle, rounded acidity; plush, syrupy mouthfeel. the quiet finish consolidates to crisp cocoa-toned cedar notes.",guatemala
69,"elegantly bright, richly juicy, elaborately complete. toffee, pomelo, plum marmalade, star jasmine, sandalwood in aroma and cup. sweetly tart structure with lyrically balanced acidity; syrupy, viscous mouthfeel. resonant, long, satisfying finish.",kenya
70,"richly fruit- and spice-toned. blackberry, scorchy cardamom, cherry blossom, graham cracker, cocoa powder in aroma and cup. sweetly deep with lyrically bright acidity; lightly creamy mouthfeel. the crisp finish centers around cardamom and cocoa powder.",guinea
71,"deeply sweet-savory, chocolate-toned. dark chocolate, pear, praline, magnolia, a hint of thyme in aroma and cup. sweet-savory structure with gentle, round acidity; plush, syrupy mouthfeel. the gently drying finish is very chocolaty with undertones of praline and magnolia.",guatemala
72,"deeply and richly sweet, resonantly aromatic. dried mango, wild honey, lilac, pistachio, tangerine zest in aroma and cup. juicy-sweet structure with refined acidity; lush, syrupy mouthfeel. the finish centers around notes of mango, honey and pistachio.",hawaii
73,"richly sweet-tart, deeply nuanced. lychee, pink grapefruit zest, sassafras, cocoa nib, star jasmine in aroma and cup. deep-toned, balanced structure with lush, juicy acidity; viscous, syrupy mouthfeel. complexly layered finish redolent of lychee and star jasmine, with cocoa nib undertones.",kenya
74,"chocolaty, sweetly smoky. dark chocolate, scorched mesquite, lily, raisin, hazelnut in aroma and cup. bittersweet structure with gentle acidity; crisp, light mouthfeel. bittersweet finish with notes of chocolate and scorched mesquite.",guatemala
75,"delicately sweet-savory. lychee, hyacinth, chinese five-spice, almond, cedar in aroma and cup. sweet-savory structure with brisk acidity; velvety mouthfeel. spice-toned finish with notes of chinese five-spice supported by almond and cedar.",indonesia
76,"deep-toned, intricately balanced. dried mulberry, dark chocolate, magnolia, sandalwood, pink peppercorn in aroma and small cup. juicy-sweet structure with high-toned acidity; very full, syrupy mouthfeel. the resonant finish consolidates to notes of dried mulberry and pink peppercorn.",taiwan
77,"complex, richly bittersweet. pomegranate, hop flowers, honey, magnolia, baking chocolate in aroma and cup. gently brisk acidity; plush, creamy mouthfeel. pomegranate and hop flowers lead in the crisp, long finish.",thailand
78,"deep-toned, sweetly citrusy. pomelo, cantaloupe, cocoa nib, lemon-thyme, caramel in aroma and cup. gently bright acidity; crisp, satiny mouthfeel. the finish consolidates to pretty notes of lemon-thyme and cantaloupe.",ethiopia
79,"sweetly fermenty, deeply rich. aged red wine, ginger blossom, vanilla, pink grapefruit zest, baking chocolate in aroma and cup. very sweet, high-toned structure with winy acidity; smooth, creamy mouthfeel. spice-toned, delicate finish.",hawaii
80,"explosively floral, tropical. star jasmine, dark chocolate, pineapple kefir, pistachio, sandalwood in aroma and cup. deeply sweet structure with lactic undertones and ripe, floral acidity; plush, syrupy-smooth mouthfeel.",colombia
81,"evaluated as espresso. richly chocolaty and floral-toned. chocolate fudge, narcissus, molasses, sandalwood, dried red currant in aroma and small cup. creamy-smooth mouthfeel; resonant, flavor-saturated finish. lyrically sweet in three parts milk, with deep-toned notes of chocolate fudge and narcissus into the long.",kenya
82,"crisp, balanced, bright. red currant, thyme, wild honey, cocoa nib, amber in aroma and cup. sweetly tart with crisp, lively acidity; viscous, almost creamy mouthfeel. finish is sweetly herbaceous with hints of wild honey.",nicaragua
83,"balanced, sweetly savory. wisteria, black currant, lime zest, tamarind, cedar in aroma and cup. sweet-savory structure with bight, juicy acidity; full, syrupy-smooth mouthfeel. the finish leads with notes of tamarind, supported by lime zest and cedar.",kenya
84,"balanced, crisply chocolaty and nut-toned. baking chocolate, hazelnut butter, pear, pink grapefruit zest, bay leaf in aroma and cup. sweet-toned structure with gently bright acidity; crisp, velvety mouthfeel. chocolaty, richly nut-toned finish.",guatemala
85,"evaluated as espresso. sweet-toned, crisply chocolaty. baking chocolate, caramel, date, almond, fir in aroma and small cup. satiny mouthfeel; chocolaty, nut-toned finish. in cappuccino-scaled milk, chocolate and nut tones preside.",brazil
86,"crisply chocolaty, roast-rounded. baking chocolate, gently scorched fir, salted caramel, date, orange zest in aroma and cup. bittersweet structure with gentle, round acidity; velvety mouthfeel. chocolaty finish with undertones of salted caramel.",ethiopia
87,"delicately sweet, richly perfumy. bergamot, marzipan, lilac, apricot, cocoa nib in aroma and cup. sweetly tart in structure with very lively, juicy acidity; lightly viscous, silky mouthfeel. the finish centers around notes of bergamot and lily, rounding to cocoa nib in the long.",ecuador
88,"sweetly fruit-toned, crisply tart. raspberry, honeysuckle, almond, lemon zest, caramel in aroma and cup. sweet-tart structure with juicy acidity; full, syrupy-smooth mouthfeel. the finish consolidates to raspberry and caramel notes.",ethiopia
89,"delicate, sweetly nut-toned. candied walnut, persimmon, grapefruit zest, oak, magnolia in aroma and cup. richly sweet structure with gentle, round acidity; lightly syrupy mouthfeel. the gently drying finish is redolent of candied walnut.",guatemala
90,"richly sweet, caramel-toned. caramel, grapefruit zest, magnolia, oak, a hint of thyme in aroma and cup. sweet-toned structure with gentle acidity; very full, syrupy mouthfeel. caramelly finish with undertones of grapefruit zest and oak.",guinea
91,"elegantly fruit-toned, juicy-sweet. passion fruit, mango, sandalwood, rhododendron, cocoa nib in aroma and cup. confidently sweet-tart structure with balanced acidity; plush, medium-bodied mouthfeel. resonant, long, harmonious finish.",panama
92,"evaluated as espresso produced as a “ristretto” 25ml (.85-ounce) shot using a nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. sweet-toned, chocolaty, nut-driven. cashew, baking chocolate, hazelnut brittle, marjoram, brown sugar in aroma and small cup. sweetly nut-toned finish with hints of baking chocolate and marjoram. in cappuccino-scaled milk, sweet herb notes subside and chocolate and cashew take center stage.",brazil
93,"richly chocolaty, deeply fruity. huckleberry, dark chocolate, pink peppercorn, amber, candied tangerine zest in aroma and cup. juicy, balanced acidity; plush, syrupy-smooth mouthfeel. flavor-saturated finish that carries over all the aroma and flavor notes from the cup into the long.",ethiopia
94,"complexly fruit-layered, floral. star jasmine, wild raspberry, lychee, cocoa nib, sandalwood in aroma and cup. juicy-bright acidity; plush, syrupy mouthfeel. the resonant finish centers around notes of cocoa-toned raspberry and sandalwood.",ethiopia
95,"evaluated as espresso. richly chocolaty, complex, multi-layered. chocolate fudge, dried passionfruit, almond nougat, cedar, graphite in aroma and small cup. lively, syrupy-smooth mouthfeel; crisply sweet-tart, chocolaty finish. in three parts milk, chocolate notes are amplified, and fruit tones softened, while the pleasing mineral edge lingers.",kenya
96,"delicate, sweetly fruit-toned. dark chocolate, bergamot, narcissus, black tea, sandalwood in aroma and cup. sweet-tart structure with juicy, citrusy acidity; plush, syrupy mouthfeel. the rich finish is redolent of bergamot and narcissus well into the long.",ethiopia
97,"multi-layered, wide-ranging. salted caramel, tangerine, lemon-thyme, cedar, magnolia in aroma and cup. sweet structure with high-toned acidity; plush, syrupy mouthfeel. resonant finish centers around notes of tangerine and caramel.",indonesia
98,"delicately perfumed, sweetly fermenty. green grape, rum barrel, rhododendron, cocoa nib, oak in aroma and cup. sweet-tart structure with juicy acidity; syrupy-smooth mouthfeel. sweet ferment suggesting rum barrel animates the crisply cocoa-toned finish.",yemen
99,"richly sweet, berry-toned. blackberry, salted caramel, pink grapefruit zest, lemon balm, oak in aroma and cup. balanced, bright acidity; crisp, satiny mouthfeel. finish consolidates to caramel and citrus notes.",kenya
100,"evaluated as espresso. crisply sweet, chocolaty. baking chocolate, date, banana, vanilla, fir in aroma and small cup. velvety-smooth body; gently drying, wood-framed finish. crisply chocolaty with fir undertones in three parts milk.",brazil
101,"sweetly tart, deeply aromatic. red currant, magnolia, brown sugar, cashew butter, lemon verbena in aroma and cup. sweet-tart structure with gentle, round acidity; very full, syrupy-smooth mouthfeel. the quiet finish leads with notes of red currant and cashew butter.",kenya
102,"richly sweet-savory, subtly complex. bing cherry, cocoa nib, meyer lemon zest, fresh-cut fir, nutella in aroma and cup. balanced, sweetly savory structure with juicy-bright acidity; crisp, velvety mouthfeel. the finish consolidates to notes of crisp citrus and sweet nutella notes.",kenya
103,"floral, tropical, tangy. star jasmine, lychee, sandalwood, molasses, pistachio in aroma and cup. sweet-tangy structure with gently bright acidity; lavishly smooth mouthfeel. finish consolidates to pleasing notes of lychee and sandalwood.",colombia
104,"deep-toned, sweetly savory. concord grape, hop flowers, grapefruit extract, dark chocolate, sandalwood in aroma and cup. savory-leaning structure with vibrant acidity; buttery mouthfeel. the finish centers around notes of concord grape and sandalwood, supported by dark chocolate.",ethiopia
105,"sweet-toned, gently fermenty. lime zest, magnolia, cocoa nib, watermelon candy, a hint of aged grappa in aroma and cup. brightly sweet with high-toned acidity; full, syrupy-smooth mouthfeel. in the short finish, crisp cocoa nib gives weight to watermelon candy notes; lime zest resurfaces in the long.",peru
106,"sweetly herbaceous, citrusy. marjoram, lemon verbena, cocoa nib, freesia, maple syrup in aroma and cup. sweet-savory structure with crisp, winey acidity; satiny mouthfeel. the finish leads with sweet herb notes supported by cocoa nib.",ethiopia
107,"high-toned, elegant, balanced. apricot, almond butter, bergamot, cedar, cocoa nib in aroma and cup. delicately sweet structure with juicy-bright acidity; very syrupy, lively mouthfeel. cocoa-toned finish supported by notes of apricot and almond.",ethiopia
108,"delicate, very nuanced. lilac, bergamot, cocoa nib, cedar, wild honey in aroma and cup. richly sweet structure with bright, balanced acidity; plush, silky mouthfeel. long, rich, floral-toned finish.",colombia
109,"rich-toned, enigmatic, complex. red currant, star jasmine, pomegranate, dark chocolate, cedar in aroma and cup. sweet-tart structure with juicy, high-toned acidity; full, syrupy-smooth mouthfeel. the flavor-saturated finish consolidates to notes of red currant and dark chocolate with hints of cedar.",kenya
110,"gently fruit-forward, sweetly nut-toned. dried persimmon, baking chocolate, lily, cashew, molasses in aroma and cup. sweet-toned structure with gentle, round acidity; smooth, satiny mouthfeel. nut-toned finish with hints of persimmon and lily.",yemen
111,"crisply sweet-tart, nut-toned. red apple, almond brittle, magnolia, lemon zest, cedar in aroma and cup. sweet-tart structure with brisk acidity; delicate, satiny mouthfeel. quiet, gently nut-toned finish.",mexico
112,"a ready-to-drink black coffee, tested cold. red currant, toffee, lemon-thyme, magnolia, bergamot. richly sweet-savory structure with balanced, high-toned acidity; crisp, satiny mouthfeel. the finish consolidates to notes of red currant and toffee. milk enhances the toffee and bergamot notes beautifully.",kenya
113,"chocolaty and juicy-bright. oreo cookie, pomegranate, freesia, maple syrup, tangerine zest in aroma and cup. sweet structure with high-toned acidity; crisp, velvety mouthfeel. chocolaty finish with undertones of freesia and maple syrup.",mexico
114,"complex, delicate, richly sweet. star jasmine, pink grapefruit zest, nectarine, sandalwood, bay leaf in aroma and cup. crisp, sweetly tart structure with bright acidity; silky-smooth, vibrant mouthfeel. grapefruit, nectarine and cashew notes lead in the multi-layered finish.",ethiopia
115,"richly sweet, berry-toned. strawberry, magnolia, orange zest, dark chocolate, cedar in aroma and cup. sweet-tart structure with bright, juicy acidity; velvety-smooth mouthfeel. the finish consolidates to notes of strawberry and dark chocolate with cedar undertones.",ethiopia
116,"evaluated as espresso. deeply sweet, rich-toned, chocolaty. dark chocolate, cashew butter, pomegranate, lemon verbena, cedar in aroma and cup. creamy-smooth mouthfeel; crisply sweet finish consolidates to notes of dark chocolate and pomegranate. in cappuccino-scaled milk, chocolate notes bloom, tart fruit notes are tempered, and floral hints are further amplified.",panama
117,"crisply sweet, fruit-forward, spice-toned. peach, star jasmine, cocoa nib, myrrh, maple syrup in aroma and cup. sweetly tart structure with juicy, vibrant acidity; buoyant, silky-smooth mouthfeel. the resonant finish centered around nectarine and cocoa nib, with resiny myrrh-like undertones.",panama
118,"crisply sweet, fruit-forward. dried mango, agave syrup, lime zest, pink peppercorn, cedar in aroma and cup. sweetly tart structure with brisk acidity; syrupy-smooth mouthfeel. richly drying finish leads with notes of dried mango and agave syrup in the short, with hints of pink peppercorn and cedar in the long.",colombia
119,"evaluated as espresso. sweetly nut-toned. hazelnut, cocoa nib, red apple, caramel, fresh-cut fir in aroma and small cup. crisply velvety mouthfeel; gently drying, nut-toned finish. lively and complex in three parts milk, with nut and caramel tones commingling, supported by notes of apple and cocoa nib.",guatemala
