,description
10,"|Roaster Location:
|Antigua, Guatemala
|Coffee Origin:
|San Lucas Tolimán, Lake Atitlán growing region, Guatemala
|Roast Level:
|Medium-Light
|Agtron:
|56/74
|Est. Price:
|$16.00/12 ounces
|Review Date:
|November 2022
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Deeply sweet-tart, chocolate-toned. Dark chocolate, pomegranate, praline, magnolia, a hint of marjoram in aroma and cup. Sweet-tart structure with brisk acidity; very full, syrupy mouthfeel. The finish consolidates to dark chocolate with undertones of praline and magnolia.
Notes
Produced by smallholding farmers of Asociación Tinamit from a field blend of traditional varieties grown in the region, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza and Finca El Pintado just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://El Gran.cafe for more information.
Bottom Line
A richly chocolaty Guatemala cup with a compelling floral throughline supported by sweet herb notes.
Explore Similar Coffees
Click here for more reviews from El Gran Cafe"
11,"Whatever Coffee
Zhi Zu Coffee Ethiopia Yirgacheffe Natural
|Roaster Location:
|Hualien City, Taiwan
|Coffee Origin:
|Yirgacheffe growing region, south-central Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|58/74
|Est. Price:
|NT $500/200 grams
|Review Date:
|November 2023
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Richly sweet, crisply fruity. Plum, magnolia, cashew, agave syrup, dried sage in aroma and cup. Sweetly tart structure with brisk acidity; syrupy-smooth mouthfeel. The crisp finish highlights notes of cashew and plum.
Notes
Produced by Abraham Mengiste, from trees of the 74110 variety of Arabica, and processed by the natural method (dried in the whole fruit). Whatever Coffee is a specialty roaster and SCA Training Center in Hualien City, Taiwan. Visit whatevercoffee.com.tw for more information.
Bottom Line
A richly sweet natural-processed Ethiopia with fruit underpinnings supported by sweet florals.
Explore Similar Coffees
Click here for more reviews from Whatever Coffee
Click here for more information about coffees from Ethiopia"
12,"|Roaster Location:
|Madison, Wisconsin
|Coffee Origin:
|Agaro Gera, Jimma Zone, Oromia State, Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|58/74
|Est. Price:
|$23.00/12 ounces
|Review Date:
|July 2023
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Delicate, complex, high-toned. Bergamot, plumeria, lemongrass, cocoa nib, dried apricot in aroma and cup. Juicy, balanced acidity; exceptionally silky mouthfeel. The finish fulfills the promise of the cup, carrying forward all of the flavor and aroma notes.
Notes
Produced by the Nano Genji cooperative in Ethiopia’s Jimma Zone. Ethiopia coffees like this one are produced largely from selections of local, indigenous varieties of Arabica. Processed by the wet or washed method (fruit skin and pulp are removed before drying). Certified organic. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.
Bottom Line
A lovely expression of the classic washed Ethiopia profile: juicy, bright, multi-layered, tropical.
Explore Similar Coffees
Click here for more reviews from JBC Coffee Roasters
Click here for more information about coffees from Ethiopia"
13,"True Coffee Roasters
Belquis Ramirez Lemus Colombia Coffee for Peace
|Roaster Location:
|Fitchburg, Wisconsin
|Coffee Origin:
|Cauca Department, Colombia
|Roast Level:
|Medium-Light
|Agtron:
|58/76
|Est. Price:
|$14.20/12.64 ounces
|Review Date:
|March 2021
|Aroma:
|8
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Balanced, bright. Cocoa nib, orange zest, almond brittle, plum, cedar in aroma and cup. Sweet-toned with juicy, high-toned acidity; crisp, velvety mouthfeel. Quiet finish that leads with notes of cocoa nib and orange zest, rounding to cedar in the long.
Notes
Produced by Belquis Ramirez Lemus in partnership with Coffee for Peace, an alliance of coffee farmers working to develop, facilitate and promote the trade of traceable coffees from historically violence-prone zones in Colombia. Processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). True Coffee is a specialty roaster and cafe in Wisconsin whose motto is, “On a never-ending quest to bring you a great cup of coffee, by staying true to the bean.” Visit www.truecoffeeroasters.com for more information.
Bottom Line
A good-value, balanced Colombia cup, juicy and bright, with notes of stone fruit and cocoa nib throughout.
Explore Similar Coffees
Click here for more reviews from True Coffee Roasters
Click here for more information about coffees from Colombia"
14,"|Roaster Location:
|Jersey City, New Jersey
|Coffee Origin:
|Piendamó, Cauca Department, Colombia
|Roast Level:
|Light
|Agtron:
|64/82
|Est. Price:
|$30.00/250 grams
|Review Date:
|March 2023
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Wildly tropical, fruity and deep. Passion fruit, mango, tamarind, rice candy, hop flowers in aroma and cup. Richly bittersweet structure with juicy acidity; plushly syrupy mouthfeel. Long, lingering, fruity finish.
Notes
Produced by Wilton Benitez entirely of the Pink Bourbon variety of Arabica and processed by a proprietary anaerobic fermentation method in which the coffee fruit is first sterilized, then fermented anaerobically in the whole fruit with added microorganisms for 36 hours. After this fermentation in the whole fruit, the coffee is subjected to thermal shock (first a high temperature to swell the beans and allow the unique flavors and aromas from the initial anaerobic yeast fermentation to penetrate the seeds, then a cold temperature to constrict the beans and lock in those flavors and aromas). Finally, the whole cherries are carefully dried by machine until the beans reach 10.5% internal humidity. Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information.
Bottom Line
An unabashed fruit bomb of a coffee: produced entirely from the rare Pink Bourbon variety of Arabica, and processed anaerobically, netting an intense, flavor-saturated, richly aromatic profile with ballast from bittersweet floral notes.
Explore Similar Coffees
Click here for more reviews from modcup coffee
Click here for more information about coffees from Colombia"
15,"|Roaster Location:
|Chia-Yi, Taiwan
|Coffee Origin:
|Guji Zone, Oromia Region, southern Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|58/78
|Est. Price:
|NT $375/8 ounces
|Review Date:
|January 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Richly aromatic, sweetly tart, deeply savory. Lilac, dark chocolate, lemon drop, pink grapefruit zest, shiitake mushroom in aroma and cup. Harmonious sweet-tart-savory structure; lyrical, syrupy-smooth mouthfeel. The flavor-saturated finish leads with citrus notes (lemon drop, pink grapefruit zest) in the short, rounding to deep chocolate and sweet mushroom notes in the long.
Notes
Guji is nestled next to Ethiopia's better-known Yirgacheffe and Sidamo growing regions. This is a “natural” or dry-processed coffee (dried in the whole fruit). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.
Bottom Line
A multi-layered, floral-inclined natural-processed Ethiopia cup with an umami undercurrent: a trifecta of sweet, tart, savory impulses.
Explore Similar Coffees
Click here for more reviews from Kakalove Cafe
Click here for more information about coffees from Ethiopia"
16,"|Roaster Location:
|Minneapolis, Minnesota
|Coffee Origin:
|Isla Santa Cruz and Isla San Cristóbal, Galapagos Islands, Ecuador
|Roast Level:
|Medium-Light
|Agtron:
|62/78
|Est. Price:
|$19.95/4 ounces
|Review Date:
|August 2020
|Aroma:
|8
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Sweetly nut- and caramel-toned. Cashew butter, caramel, agave syrup, plum, fresh-cut oak in aroma and cup. Sweet structure with brisk acidity; very full, syrupy-smooth mouthfeel. Finish consolidates to notes of cashew and caramel.
Notes
Produced by members of the Asociación de Cafetaleros de Santa Cruz from trees of the Typica, Caturra and Bourbon varieties of Arabica and processed by the washed method. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.
Bottom Line
A delicate, intriguing, richly sweet cup from the famous Galapagos Islands.
Explore Similar Coffees
Click here for more reviews from Paradise Roasters
Click here for more information about coffees from Ecuador"
17,"|Roaster Location:
|Taipei, Taiwan
|Coffee Origin:
|Tarrazu growing region, Costa Rica
|Roast Level:
|Medium-Light
|Agtron:
|60/76
|Est. Price:
|NT $789/8 ounces
|Review Date:
|June 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
High-toned, floral. Nectarine, lilac, cocoa nib, pistachio brittle, cedar in aroma and cup. Sweet structure with bright, juicy acidity; silky-smooth mouthfeel. The cocoa-toned finish is complicated by hints of lilac and cedar.
Notes
Produced by Dota Estate entirely of the celebrated Geisha variety of Arabica, and processed by the honey method, in which the skin is stripped off the coffee fruit, but much of the fruit flesh is left to dry on the bean. Buon Caffe is a specialty coffee roaster and cafe in Taipei. Visit www.buoncaffe.com.tw for more information.
Bottom Line
A pretty Costa Rica Geisha processed by the honey method. Floral-driven with ballast from cocoa notes.
Explore Similar Coffees
Click here for more reviews from Buon Caffe
Click here for more information about coffees from Costa Rica"
18,"|Roaster Location:
|Madison, Wisconsin
|Coffee Origin:
|Cajamarca, Peru
|Roast Level:
|Medium-Light
|Agtron:
|54/72
|Est. Price:
|$18.00/12 ounces
|Review Date:
|December 2023
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Deep-toned, richly chocolaty. Dark chocolate, date, narcissus, almond, brown sugar in aroma and cup. Sweet, balanced acidity; very full, creamy mouthfeel. Sweet-toned finish with notes of dark chocolate and almond.
Notes
Produced by smallholding members of the Santuario Cooperative, from trees of the Caturra, Bourbon, Pache, Catimor and Typica varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.
Bottom Line
A rich, deeply chocolaty, floral- and nut-toned Peru with subtle hints of spicy florals.
Explore Similar Coffees
Click here for more reviews from JBC Coffee Roasters
Click here for more information about coffees from Peru"
19,"Yellow Brick Coffee
Guatemala ASPROCDEGUA Women Producers
|Roaster Location:
|Tucson, Arizona
|Coffee Origin:
|Huehuetenango, Guatemala
|Roast Level:
|Medium-Light
|Agtron:
|58/77
|Est. Price:
|$18.00/12 ounces
|Review Date:
|May 2022
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Crisply chocolaty, nut-toned. Baking chocolate, pink grapefruit zest, hazelnut brittle, thyme, agave syrup in aroma and cup. Bittersweet structure with brisk acidity; smooth, satiny mouthfeel. Quiet, nut-driven finish with hints of baking chocolate.
Notes
Produced by 664 smallholding women farmers of the ASPROCDEGUA Producer's Association, from trees of the Bourbon, Caturra, Catuai and Pache varieties of Arabica, and processed by the washed method. Founded in 2011, Yellow Brick Coffee is a specialty roaster and cafe in Tucson, Arizona. Visit www.yellowbrickcoffee.com for more information.
Bottom Line
A balanced, inviting women-farmed Guatemala cup.
Explore Similar Coffees
Click here for more reviews from Yellow Brick Coffee
Click here for more information about coffees from Guatemala"
20,"|Roaster Location:
|Madison, Wisconsin
|Coffee Origin:
|Circasia Municipality, Quindio Department, Colombia
|Roast Level:
|Light
|Agtron:
|62/80
|Est. Price:
|$18.00/8 ounces
|Review Date:
|April 2023
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Floral-toned, gently fermenty. Narcissus, red wine, lemon verbena, cedar, myrrh in aroma and cup. Brightly sweet with juicy acidity; plush, syrupy mouthfeel. Resonant finish consolidates to notes of narcissus and red wine.
Notes
Produced by Edwin Noreña of Finca Campo Hermoso, from trees of the Yellow Bourbon and Yellow Caturra varieties of Arabica, and processed by the carbonic maceration method, involving two fermentation phases in closed tanks injected with CO2. The first fermentation involves the whole coffee fruit, after which the skins and pulp are removed and the beans are fermented a second time with their skins and juice, after which they are washed and dried. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information
Bottom Line
A subtly fermenty, balanced carbonic-macerated coffee from Colombia with spicy floral notes as a throughline, supported by crisp chocolate and a hint of sweet herb.
Explore Similar Coffees
Click here for more reviews from JBC Coffee Roasters
Click here for more information about coffees from Colombia"
21,"|Roaster Location:
|San Diego, California
|Coffee Origin:
|Nyeri growing region, south-central Kenya
|Roast Level:
|Medium-Light
|Agtron:
|58/77
|Est. Price:
|$22.00/12 ounces
|Review Date:
|September 2023
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Richly sweet, deeply savory, juicy-bright. Blackberry, finger lime, dark chocolate, fresh-cut cedar, star jasmine in aroma and cup. Balanced, sweet-savory structure with high-toned acidity; plush, viscous mouthfeel. The long finish is richly floral with undertones of dark chocolate and lime.
Notes
Produced by smallholding farmers surrounding the Muthaini Coffee Factory from trees of the SL28 and SL34 varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Nostalgia Coffee Roasters was founded by Taylor Fields in 2018 as a mobile café; it has since added specialty roasting, an online store, a café, and a national wholesale program featuring select fine coffees. Visit www.nostalgiabrew.com for more information.
Bottom Line
This lush Kenya displays dark berry and deep chocolate notes elegantly juxtaposed with spicy florals and bittersweet citrus zest.
Explore Similar Coffees
Click here for more reviews from Nostalgia Coffee Roasters
Click here for more information about coffees from Kenya"
22,"|Roaster Location:
|Madison, Wisconsin
|Coffee Origin:
|Valle del Cauca Department, Colombia
|Roast Level:
|Medium-Light
|Agtron:
|57/74
|Est. Price:
|$30.00/8 ounces
|Review Date:
|August 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Complex, sweetly and intricately herbaceous, citrusy. Lemon verbena, cardamom, cocoa nib, ginger, aromatic orchid in aroma and cup. Sweetly savory with delicately juicy acidity; crisp, silky mouthfeel. Long, resonant, flavor-saturated finish.
Notes
Comprised entirely of beans from the rare Sudan Rume, a presumably very old variety of Arabica originally selected from wild trees growing on the Boma Plateau of Sudan, close to the border with Ethiopia. Produced by Rigoberto Herrera at Granja La Esperanza in Colombia. Fermented in the whole fruit, then fermented again after the skins are removed. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.
Bottom Line
A striking and original version of the rare Sudan Rume variety of Arabica: all spice, herbs and cocoa.
Explore Similar Coffees
Click here for more reviews from JBC Coffee Roasters
Click here for more information about coffees from Colombia"
23,"States Coffee
Cold Brew
|Roaster Location:
|Martinez, California
|Coffee Origin:
|Guatemala; Ethiopia
|Roast Level:
|NA
|Agtron:
|0/0
|Est. Price:
|$4.25/12-ounce bottle
|Review Date:
|July 2021
|Aroma:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|9
|With Milk:
|9
Blind Assessment
A ready-to-drink black coffee, tested cold. Dark chocolate fudge, raspberry coulis, molasses, almond butter, redwood. Richly sweet structure with brisk acidity; velvety-smooth mouthfeel. The finish is chocolaty, through and through — in milk, dessert-like, reminiscent of a chocolate-raspberry truffle.
Notes
The coffee tied for the second-highest rating in a tasting of ready-to-drink black coffees for Coffee Review’s July 2021 tasting report. Prepared by steeping coffee overnight in warm water, then filtering and chilling. Contains no additives or ingredients other than coffee and water. The green coffee used is a blend of two coffees: a washed-process Guatemala and a natural Ethiopia. Founded in 2015, States Coffee is a community-focused coffee and bread company in the Bay Area of California, featuring coffee roasted in-house and artisan-baked goods. Available in-store only. Visit www.statescoffee.com for more information.
Bottom Line
A deeply chocolaty, almost fudge-like, cold brew pleasingly complicated by hints of raspberry and molasses.
Explore Similar Coffees
Click here for more reviews from States Coffee
This review originally appeared in the July, 2021 tasting report: Cold Black Coffee: Simplicity Rules the Post-Pandemic RTD Landscape"
